X,Y
202043.7,2617664.21
202012.0,2617641.86
202020.731,2617641.066
202014.35,2617655.7
202019.45,2617622.81
202060.19,2617615.58
201995.35,2617656.65
202057.35,2617581.06
202068.992,2617584.896
202085.66,2617550.765
202064.65,2617520.91
201985.296,2617643.156
