X,Y,鄉鎮市區代碼
178955.2252,2507088.006,6400100
178955.2252,2507088.006,6400100
178955.2252,2507088.006,6400100
178955.2252,2507088.006,6400100
182838.05,2504175.79,6400100
182854.86,2504181.91,6400100
182859.61,2504181.18,6400100
182864.18,2504180.27,6400100
182869.11,2504179.18,6400100
182874.41,2504178.26,6400100
182879.16,2504177.35,6400100
176225.680,2503013.914,6400100
176225.680,2503013.914,6400100
176225.680,2503013.914,6400100

